claw,normal,japanese
3.1,1.7,1.4
4.9,1.8,2.8
0.0,1,1.5
0.7,4,1.6
1.7,0,2.6
0.0,3,0.8
1.5,2.5,4.8
0.7,1.7,1.6
0.0,0,
0.5,1.3,0.7
