,mean,median,min,max,std dev,std err
claw,1.31,0.7,0.0,4.9,1.59,0.562149891
normal,1.7,1.7,0.0,4.0,1.25,0.4419417382
japanese,1.98,1.6,0.7,4.8,1.27,0.4490128061
